,Land Square Feet,Apartments,Wall Material,Roof Material,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Cathedral Ceiling,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Building Square Feet,Repair Condition,Estimate (Land),Estimate (Building),Sale Price,Multi Property Indicator,Use,O'Hare Noise,Floodplain,Road Proximity,Age Decade,Pure Market Filter,Garage Indicator,Lot Size,Bathrooms,Bedrooms
6935,3780.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,1,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1718.0,2.0,45360,197030,260000,0,1,0.0,0.0,0.0,11.4,1,1.0,3780.0,4,1.0
43726,5332.0,0.0,2.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,3.0,0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1533.0,2.0,58650,87940,70000,0,1,0.0,0.0,0.0,10.5,1,1.0,5332.0,3,1.5
192290,3750.0,0.0,3.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0,0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,880.0,2.0,30000,72400,1,0,1,0.0,0.0,0.0,9.5,0,1.0,3750.000000000001,2,2.0
37001,9800.0,0.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,1.0,3.0,0,0.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,2562.0,2.0,41650,317100,268000,0,1,0.0,0.0,1.0,3.9,1,1.0,9800.0,4,2.5
14491,4125.0,0.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,1082.0,2.0,99000,315960,1,0,1,0.0,0.0,0.0,9.8,0,0.0,4125.000000000001,2,1.5
199135,20001.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,3,2.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,1680.0,2.0,70000,110340,95000,0,1,0.0,0.0,0.0,6.1,1,1.0,20001.0,4,2.0
88645,6150.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1231.0,2.0,21520,72510,110000,0,1,0.0,0.0,0.0,4.9,1,1.0,6149.999999999999,3,1.5
86961,3750.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,3,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,900.0,2.0,22500,84100,55000,0,1,0.0,0.0,0.0,5.3,1,0.0,3750.000000000001,4,2.0
65784,3958.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,1.0,3,2.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,1539.0,2.0,23740,80090,20000,0,1,0.0,0.0,0.0,8.2,1,1.0,3958.000000000001,3,1.0
122093,4940.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,3,0.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,1168.0,2.0,49400,253070,340000,0,1,0.0,0.0,0.0,8.6,1,1.0,4940.0,3,1.5
